"GID_0","frm_sys","NAME_0","area_sq_km","rural_pop","cropland_area_ha","rural_pop_density_sq_km","cropland_ha_capita"
"TKM","Sparse (arid)","Turkmenistan",285536.168782636,2203304.36865765,490609.292719924,7.71637575040421,0.222669777130621
"TLS","Upland intensive mixed","Timor-Leste",14534.6596137966,1119295.07509071,743859.753962681,77.0086885301567,0.664578778658875
"TUN","Dryland mixed","Tunisia",39274.5752133511,3752733.78706282,878704.796949622,95.5512253583105,0.234150581098736
"TUN","Pastoral","Tunisia",43797.4798100118,1146382.31093568,54520.8933257813,26.1746181722908,0.0475590846139988
"TUN","Rainfed mixed","Tunisia",20937.0808792104,1666369.86056657,1710218.3369341,79.589407433641,1.02631377187332
"TUN","Sparse (arid)","Tunisia",47651.8759441449,103288.023699254,904.046017456865,2.16755419703356,0.00875267030076205
"TUR","Horticulture mixed","Turkey",393339.144017702,23934518.1753625,19759496.2179664,60.8495710111307,0.825564821200629
"TUR","Small scale cereal-livestock","Turkey",355625.988428804,11328039.4199948,15855347.8905398,31.8538008710874,1.39965507734321
"TZA","11. Agro-pastoral","Tanzania",322246.64126545,14242460.8129558,10072137.7260408,44.1973910326148,0.707190832982919
"TZA","14. Artisanal fishing","Tanzania",78891.916504938,5776306.08248495,1643251.50017446,73.2179713510116,0.284481375590045
"TZA","5. Highland perennial","Tanzania",105781.757548055,8512875.19452721,2643850.30488609,80.475834320109,0.310570781841812
"TZA","7. Root and tuber crop","Tanzania",48127.5395029877,4102626.57108974,1106081.22781387,85.2448850171336,0.269603194111832
"TZA","9. Maize mixed","Tanzania",384467.081107541,11225322.3964462,9429397.23002741,29.1970963134457,0.840011261771212
"UGA","12. Pastoral","Uganda",12309.0088496628,381115.186781138,537115.380826087,30.9622969189416,1.40932557781943
"UGA","14. Artisanal fishing","Uganda",45267.2138641227,3333276.73209485,628715.165630983,73.635561978704,0.188617752488812
"UGA","5. Highland perennial","Uganda",70228.6781814821,17862480.8067366,3438149.3438504,254.347387267877,0.192478826488298
"UGA","9. Maize mixed","Uganda",103839.016584246,13597275.6298012,6340184.41980604,130.945728080635,0.466283437390227
"UZB","Irrigated","Uzbekistan",23954.9471804127,1674410.76696361,1454969.83288385,69.8983284894376,0.868944384251841
"UZB","NA","Uzbekistan",32087.1087434217,69506.7137790695,85209.9911440105,2.16618812043386,1.22592461233104
"UZB","Pastoral","Uzbekistan",109719.354381161,11420791.7557534,4227553.59523063,104.090949314903,0.370162917391515
"UZB","Sparse (arid)","Uzbekistan",249198.086208421,3708047.17600622,1259433.32415272,14.8799183509978,0.339648678771451
"VCT","Coastal plantation and mixed","Saint Vincent and the Grenadines",315.577320817908,47954.0138664246,1624.71794916976,151.956464241911,0.0338807498720627
"VEN","Coastal plantation and mixed","Venezuela",63206.8516358525,1322714.61248049,977754.459363871,20.9267599674306,0.739202886350736
"VEN","Extensive mixed (CerradosandLlano","Venezuela",330939.907222428,6196958.77759067,14503470.2073357,18.7253294098062,2.34041740922706
"VEN","Forest based","Venezuela",350040.075674461,257972.018240488,1283769.10592112,0.736978523797381,4.97638896914919
"VEN","Intensive highland mixed (north A","Venezuela",54132.5267395094,2838652.86047601,1606221.72296238,52.4389499521399,0.56583943226261
"VEN","Irrigated","Venezuela",45011.5422325346,1454559.31124535,1940087.40471632,32.3152515799378,1.33379738434679
"VNM","Highland extensive mixed","Vietnam",16861.847632829,922747.609992743,348772.902005914,54.723991705168,0.377972154280255
"VNM","Lowland rice","Vietnam",155627.488295939,47297948.7378916,10766124.0945157,303.91770281578,0.227623488582513
"VNM","Upland intensive mixed","Vietnam",127220.152946676,10884114.4625642,3394640.42515676,85.5533829386783,0.311889445561472
"YEM","Highland mixed","Yemen",98597.605635194,16818810.2791691,888014.89001331,170.580311467175,0.052798912364994
"YEM","Pastoral","Yemen",30695.9161414843,474385.072412236,56767.5416085018,15.4543382978273,0.119665531041777
"YEM","Sparse (arid)","Yemen",244456.777799134,1581575.65179158,74557.3303306382,6.46975578272219,0.0471411723152042
"ZAF","12. Pastoral","South Africa",462157.594885,2385271.46819735,2212409.68181413,5.16116470787608,0.927529512389688
"ZAF","13. Arid pastoral-oases","South Africa",92035.9125013263,152261.010800054,32106.0095040369,1.65436520008274,0.210861660088398
"ZAF","16. Perennial mixed","South Africa",270225.133322283,13122422.0820486,7508776.55144198,48.5610717282846,0.572209650359741
"ZAF","9. Maize mixed","South Africa",324930.724575325,12645600.1355328,13365382.9146498,38.9178344155059,1.05691962195566
"ZMB","11. Agro-pastoral","Zambia",121489.638193477,2026030.06325597,4686996.13882319,16.6765667704882,2.31338923534573
"ZMB","9. Maize mixed","Zambia",615000.311200799,12127860.2906752,10688562.608636,19.7200880549074,0.881323032460572
"ZWE","11. Agro-pastoral","Zimbabwe",189867.320903346,3558482.1653757,4958774.72284923,18.7419412063395,1.39350838149436
"ZWE","6. Highland mixed","Zimbabwe",17983.3880074074,959607.694407344,558668.902539461,53.3607846314654,0.582184684215664
"ZWE","9. Maize mixed","Zimbabwe",179712.100493719,7157355.1114011,6570534.82204013,39.8267845723125,0.918011572679101
