"GID_0","frm_sys","NAME_0","area_sq_km","rural_pop","cropland_area_ha","rural_pop_density_sq_km","cropland_ha_capita"
"JOR","Pastoral","Jordan",22346.519156108,1127456.51428608,17552.1683300953,50.4533393505229,0.015567933758589
"JOR","Sparse (arid)","Jordan",61211.2511632785,226646.060581483,5023.25252821865,3.70268629172297,0.0221634230717754
"KAZ","Extensive cereal-livestock","Kazakhstan",1416774.09479171,6817768.57140747,96220216.3477085,4.81217760578109,14.1131537892382
"KAZ","Pastoral","Kazakhstan",265733.498702138,4673039.2378897,11574394.2008918,17.585435260188,2.47684507055813
"KAZ","Sparse (arid)","Kazakhstan",936945.615080521,2148144.10743177,4693065.46104071,2.29270949440023,2.18470699652061
"KEN","11. Agro-pastoral","Kenya",60737.9936581995,4831535.67256463,1291344.56475321,79.5471727260846,0.26727414475815
"KEN","12. Pastoral","Kenya",395862.868023048,12528627.8903901,3785564.36370779,31.6489090097246,0.302153148519277
"KEN","5. Highland perennial","Kenya",63868.028907543,16270876.4936446,2002733.7311883,254.757768040701,0.123087021892801
"KEN","9. Maize mixed","Kenya",44994.1358518964,8430798.60192164,1969756.50798922,187.375497768701,0.233638187910247
"KGZ","Irrigated","Kyrgyzstan",48125.4896723646,1690907.42371669,2359113.15166315,35.1353811717717,1.39517582013905
"KGZ","Pastoral","Kyrgyzstan",143574.6237342,2455143.80728897,5227108.78185182,17.1001235694282,2.12904383292469
"KHM","Lowland rice","Cambodia",119069.174961746,13815307.7488631,6835618.92469865,116.027576014545,0.494785859928539
"KHM","Sparse (forest)","Cambodia",21821.2450106391,1133778.1069223,703264.916344094,51.9575352538095,0.620284438419034
"KHM","Tree crop-mixed","Cambodia",22484.5094781876,1091991.52840995,562054.015221744,48.5663932081461,0.514705472157053
"KHM","Upland intensive mixed","Cambodia",8561.97958186613,79443.6965213716,161953.624374666,9.27865988954582,2.03859628222483
"LAO","Highland extensive mixed","Laos",96525.253614758,1906844.06836979,446119.63076324,19.7548723982658,0.233957059291502
"LAO","Lowland rice","Laos",58750.4923295125,3324580.83173136,1501105.51770941,56.5881356888869,0.45151722688832
"LAO","Upland intensive mixed","Laos",58146.131665812,1403230.3057139,431552.775758089,24.1328230359123,0.307542371341912
"LBN","Dryland mixed","Lebanon",2556.60905169979,375353.053790842,65393.7314305425,146.816758526801,0.174219260427229
"LBN","Rainfed mixed","Lebanon",7651.97109091278,3979315.20308537,389451.578582792,520.037929548775,0.0978689947156813
"LBR","14. Artisanal fishing","Liberia",8519.92863539296,545989.996141672,423350.244993177,64.0838696551465,0.775380955667413
"LBR","2. Humid lowland tree crop","Liberia",76870.2894960899,2295377.91084099,3713930.5718301,29.8604041416775,1.61800396975563
"LBR","3. Forest based","Liberia",10241.0580064011,191264.535751939,358287.173408009,18.6762476721049,1.87325461042444
"LBY","Pastoral","Libya",236035.433197537,1353389.00976239,4262.74324949889,5.73383831159685,0.00314968070432852
"LBY","Sparse (arid)","Libya",1283623.88438135,783202.702519814,62353.6588503116,0.610149680174642,0.0796136921510867
"LKA","Coastal artisanal fishing","Sri Lanka",4831.97921581535,1311501.90711269,293101.945596898,271.421264151979,0.223485718173426
"LKA","Highland mixed","Sri Lanka",11076.5397749912,3504399.44177052,484513.357283889,316.380341962282,0.138258599036615
"LKA","Rainfed mixed","Sri Lanka",36344.201752876,4537975.42579281,1982268.01029928,124.861056425148,0.436817704880577
"LKA","Rice","Sri Lanka",11685.7061756484,4499723.22245835,664367.74500668,385.062156691498,0.147646357822807
"LSO","6. Highland mixed","Lesotho",30294.8172497098,1664452.09906231,833417.589602391,54.9418101896045,0.50071587525523
"MAR","Dryland mixed","Morocco",69190.0775533075,6321254.30176274,3242431.36485285,91.3607055418103,0.512941136373625
"MAR","Highland mixed","Morocco",53040.1931165867,2784036.94047503,1035118.92127043,52.4891931361466,0.371805023928242
"MAR","Pastoral","Morocco",162908.154911086,2953648.16918903,449925.631886638,18.1307569949529,0.152328783292484
"MAR","Rainfed mixed","Morocco",65907.5594446284,7312446.04555103,4872780.97073434,110.950035279254,0.666368126394449
"MAR","Sparse (arid)","Morocco",25823.0493832871,273214.171578929,17847.0748535424,10.5802443206322,0.0653226542034864
"MDG","11. Agro-pastoral","Madagascar",193979.016555265,4828689.68927349,3024702.17871549,24.8928454995945,0.626402269219038
"MDG","12. Pastoral","Madagascar",161005.110780859,3943686.86743565,2238713.63139739,24.4941719446616,0.567670230079168
"MDG","2. Humid lowland tree crop","Madagascar",82840.9380089785,6112778.88295194,2594042.83169057,73.7893489604068,0.424363923734449
